"filename", "language", "Markdown", "Shell Script", "CSV", "Makefile", "C", "Python", "C++", "comment", "blank", "total"
"d:\CodeBase\satori-os\kernel\lib\text.c", "C", 0, 0, 0, 0, 573, 0, 0, 36, 42, 651
"d:\CodeBase\satori-os\kernel\mm\Makefile", "Makefile", 0, 0, 0, 18, 0, 0, 0, 0, 6, 24
"d:\CodeBase\satori-os\kernel\mm\bitmap.c", "C", 0, 0, 0, 0, 93, 0, 0, 2, 6, 101
"d:\CodeBase\satori-os\kernel\mm\buddy.c", "C", 0, 0, 0, 0, 122, 0, 0, 2, 10, 134
"d:\CodeBase\satori-os\kernel\mm\cache.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\CodeBase\satori-os\kernel\mm\kmalloc.c", "C", 0, 0, 0, 0, 31, 0, 0, 0, 5, 36
"d:\CodeBase\satori-os\kernel\mm\malloc.c", "C", 0, 0, 0, 0, 37, 0, 0, 0, 4, 41
"d:\CodeBase\satori-os\kernel\mm\mem_block.c", "C", 0, 0, 0, 0, 1, 0, 0, 7, 4, 12
"d:\CodeBase\satori-os\kernel\mm\memory.md", "Markdown", 72, 0, 0, 0, 0, 0, 0, 0, 60, 132
"d:\CodeBase\satori-os\kernel\mm\mm.c", "C", 0, 0, 0, 0, 37, 0, 0, 29, 8, 74
"d:\CodeBase\satori-os\kernel\mm\page.c", "C", 0, 0, 0, 0, 0, 0, 0, 24, 1, 25
"d:\CodeBase\satori-os\kernel\mm\slab.c", "C", 0, 0, 0, 0, 16, 0, 0, 6, 3, 25
"d:\CodeBase\satori-os\kernel\mm\sys_heap.c", "C", 0, 0, 0, 0, 77, 0, 0, 0, 9, 86
"d:\CodeBase\satori-os\kernel\mm\tlb.c", "C", 0, 0, 0, 0, 0, 0, 0, 57, 9, 66
"d:\CodeBase\satori-os\kernel\sched\Makefile", "Makefile", 0, 0, 0, 18, 0, 0, 0, 0, 6, 24
"d:\CodeBase\satori-os\kernel\sched\sched.c", "C", 0, 0, 0, 0, 2, 0, 0, 4, 2, 8
"d:\CodeBase\satori-os\kernel\sched\sched.md", "Markdown", 2, 0, 0, 0, 0, 0, 0, 0, 2, 4
"d:\CodeBase\satori-os\kernel\shell\Makefile", "Makefile", 0, 0, 0, 18, 0, 0, 0, 0, 6, 24
"d:\CodeBase\satori-os\kernel\shell\cmd.c", "C", 0, 0, 0, 0, 238, 0, 0, 0, 1, 239
"d:\CodeBase\satori-os\kernel\shell\impl.c", "C", 0, 0, 0, 0, 105, 0, 0, 5, 8, 118
"d:\CodeBase\satori-os\kernel\shell\parser.c", "C", 0, 0, 0, 0, 109, 0, 0, 7, 9, 125
"d:\CodeBase\satori-os\kernel\shell\shell.c", "C", 0, 0, 0, 0, 25, 0, 0, 0, 4, 29
"d:\CodeBase\satori-os\kernel\shell\shell.md", "Markdown", 19, 0, 0, 0, 0, 0, 0, 0, 3, 22
"d:\CodeBase\satori-os\kernel\sys\Makefile", "Makefile", 0, 0, 0, 18, 0, 0, 0, 0, 6, 24
"d:\CodeBase\satori-os\kernel\sys\syscall.c", "C", 0, 0, 0, 0, 33, 0, 0, 0, 3, 36
"d:\CodeBase\satori-os\kernel\sys\syscall.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
