"filename", "language", "Markdown", "Shell Script", "Makefile", "C", "Python", "C++", "CSV", "comment", "blank", "total"
"d:\CodeBase\satori-os\kernel\fs\Makefile", "Makefile", 0, 0, 18, 0, 0, 0, 0, 0, 6, 24
"d:\CodeBase\satori-os\kernel\fs\filesys.md", "Markdown", 12, 0, 0, 0, 0, 0, 0, 0, 12, 24
"d:\CodeBase\satori-os\kernel\fs\fs-old.c", "C", 0, 0, 0, 253, 0, 0, 0, 3, 16, 272
"d:\CodeBase\satori-os\kernel\fs\fs.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\CodeBase\satori-os\kernel\io\Makefile", "Makefile", 0, 0, 18, 0, 0, 0, 0, 0, 6, 24
"d:\CodeBase\satori-os\kernel\io\kbdin.c", "C", 0, 0, 0, 49, 0, 0, 0, 0, 6, 55
"d:\CodeBase\satori-os\kernel\io\stdin.c", "C", 0, 0, 0, 70, 0, 0, 0, 7, 10, 87
"d:\CodeBase\satori-os\kernel\io\stdout.c", "C", 0, 0, 0, 109, 0, 0, 0, 1, 11, 121
"d:\CodeBase\satori-os\kernel\isp\Makefile", "Makefile", 0, 0, 18, 0, 0, 0, 0, 0, 6, 24
"d:\CodeBase\satori-os\kernel\isp\asm.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\CodeBase\satori-os\kernel\isp\exec.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\CodeBase\satori-os\kernel\isp\prep.c", "C", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\CodeBase\satori-os\kernel\kernel.md", "Markdown", 2, 0, 0, 0, 0, 0, 0, 0, 2, 4
"d:\CodeBase\satori-os\kernel\lib\Makefile", "Makefile", 0, 0, 18, 0, 0, 0, 0, 0, 6, 24
"d:\CodeBase\satori-os\kernel\lib\buffer.c", "C", 0, 0, 0, 113, 0, 0, 0, 1, 13, 127
"d:\CodeBase\satori-os\kernel\lib\string.c", "C", 0, 0, 0, 118, 0, 0, 0, 10, 9, 137
"d:\CodeBase\satori-os\kernel\lib\text.c", "C", 0, 0, 0, 573, 0, 0, 0, 36, 42, 651
"d:\CodeBase\satori-os\kernel\mm\Makefile", "Makefile", 0, 0, 18, 0, 0, 0, 0, 0, 6, 24
"d:\CodeBase\satori-os\kernel\mm\bitmap.c", "C", 0, 0, 0, 93, 0, 0, 0, 2, 6, 101
"d:\CodeBase\satori-os\kernel\mm\buddy.c", "C", 0, 0, 0, 122, 0, 0, 0, 2, 10, 134
"d:\CodeBase\satori-os\kernel\mm\cache.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\CodeBase\satori-os\kernel\mm\kmalloc.c", "C", 0, 0, 0, 31, 0, 0, 0, 0, 5, 36
"d:\CodeBase\satori-os\kernel\mm\malloc.c", "C", 0, 0, 0, 37, 0, 0, 0, 0, 4, 41
"d:\CodeBase\satori-os\kernel\mm\mem_block.c", "C", 0, 0, 0, 1, 0, 0, 0, 7, 4, 12
"d:\CodeBase\satori-os\kernel\mm\memory.md", "Markdown", 68, 0, 0, 0, 0, 0, 0, 0, 56, 124
"d:\CodeBase\satori-os\kernel\mm\mm.c", "C", 0, 0, 0, 37, 0, 0, 0, 29, 8, 74
"d:\CodeBase\satori-os\kernel\mm\page.c", "C", 0, 0, 0, 0, 0, 0, 0, 24, 1, 25
"d:\CodeBase\satori-os\kernel\mm\slab.c", "C", 0, 0, 0, 15, 0, 0, 0, 6, 3, 24
"d:\CodeBase\satori-os\kernel\mm\sys_heap.c", "C", 0, 0, 0, 77, 0, 0, 0, 0, 9, 86
"d:\CodeBase\satori-os\kernel\mm\tlb.c", "C", 0, 0, 0, 0, 0, 0, 0, 57, 9, 66
"d:\CodeBase\satori-os\kernel\sched\Makefile", "Makefile", 0, 0, 18, 0, 0, 0, 0, 0, 6, 24
"d:\CodeBase\satori-os\kernel\sched\sched.c", "C", 0, 0, 0, 2, 0, 0, 0, 4, 2, 8
"d:\CodeBase\satori-os\kernel\sched\sched.md", "Markdown", 2, 0, 0, 0, 0, 0, 0, 0, 2, 4
"d:\CodeBase\satori-os\kernel\shell\Makefile", "Makefile", 0, 0, 18, 0, 0, 0, 0, 0, 6, 24
"d:\CodeBase\satori-os\kernel\shell\cmd.c", "C", 0, 0, 0, 238, 0, 0, 0, 0, 1, 239
"d:\CodeBase\satori-os\kernel\shell\impl.c", "C", 0, 0, 0, 105, 0, 0, 0, 5, 8, 118
"d:\CodeBase\satori-os\kernel\shell\parser.c", "C", 0, 0, 0, 109, 0, 0, 0, 7, 9, 125
"d:\CodeBase\satori-os\kernel\shell\shell.c", "C", 0, 0, 0, 25, 0, 0, 0, 0, 4, 29
"d:\CodeBase\satori-os\kernel\shell\shell.md", "Markdown", 19, 0, 0, 0, 0, 0, 0, 0, 3, 22
"d:\CodeBase\satori-os\kernel\sys\Makefile", "Makefile", 0, 0, 18, 0, 0, 0, 0, 0, 6, 24
"d:\CodeBase\satori-os\kernel\sys\sys.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\CodeBase\satori-os\kernel\sys\syscall.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\CodeBase\satori-os\kernel\trap\Makefile", "Makefile", 0, 0, 18, 0, 0, 0, 0, 0, 6, 24
"d:\CodeBase\satori-os\kernel\trap\entry.c", "C", 0, 0, 0, 73, 0, 0, 0, 2, 0, 75
"d:\CodeBase\satori-os\kernel\trap\extioi.c", "C", 0, 0, 0, 19, 0, 0, 0, 6, 7, 32
"d:\CodeBase\satori-os\kernel\trap\handle.c", "C", 0, 0, 0, 70, 0, 0, 0, 2, 15, 87
"d:\CodeBase\satori-os\kernel\trap\i8042.c", "C", 0, 0, 0, 27, 0, 0, 0, 24, 12, 63
"d:\CodeBase\satori-os\kernel\trap\init.c", "C", 0, 0, 0, 21, 0, 0, 0, 0, 7, 28
"d:\CodeBase\satori-os\kernel\trap\ls7a.c", "C", 0, 0, 0, 18, 0, 0, 0, 6, 8, 32
"d:\CodeBase\satori-os\kernel\trap\trap.md", "Markdown", 49, 0, 0, 0, 0, 0, 0, 0, 25, 74
"d:\CodeBase\satori-os\kernel\vpu\Makefile", "Makefile", 0, 0, 18, 0, 0, 0, 0, 0, 6, 24
"d:\CodeBase\satori-os\kernel\vpu\vpu.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\CodeBase\satori-os\notes.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 2, 2
"d:\CodeBase\satori-os\run_loongarch.sh", "Shell Script", 0, 61, 0, 0, 0, 0, 0, 13, 6, 80
"d:\CodeBase\satori-os\start.sh", "Shell Script", 0, 4, 0, 0, 0, 0, 0, 0, 1, 5
"d:\CodeBase\satori-os\tools\mmp.csv", "CSV", 0, 0, 0, 0, 0, 0, 16, 0, 1, 17
"d:\CodeBase\satori-os\tools\vis_mmap.py", "Python", 0, 0, 0, 0, 112, 0, 0, 0, 16, 128
"Total", "-", 198, 65, 294, 4359, 112, 517, 16, 454, 1031, 7046
